Brand,Vehicle_model,segment,number_of_seats,Vehicle_Range_KM,Vehicle_Efficiency,weight__kg,1-Stop Range,SEC,Battery,Fastcharge,Towing,Cargo,Price/range,Germany_price,Netherland_price,England_price
NIO,EL7 Standard RangeNIO EL7,F,5,355,207,2421,376,3.9,73.5,110,2000,570,246,85900,88900,0
Porsche,Taycan Sport TurismoPorsche Taycan,F,5,460,179,2190,568,4.8,82.3,195,0,530,225,102400,108100,87300
Ford,e Tourneo Custom L1,N,8,235,272,2557,245,9.0,64.0,2,2000,672,291,66819,0,60886
Tesla,Model X Ludicrous PerformanceTesla,F,7,420,226,2572,413,3.0,95.0,2,2250,,274,112700,115920,101350
Audi,Q4 Sportback e tron,C,5,300,173,1990,341,9.0,52.0,1,1000,535,159,47600,0,0
Volkswagen,e Transporter Kombi L1,N,9,255,250,2302,254,8.6,63.8,75,2000,800,253,64867,64240,0
Smart,EQ forfourSmart EQ forfour,A,4,95,176,1200,65,12.7,16.7,0,0,185,237,22600,23995,18190
Mercedes,Benz EQS SUV 500,F,7,530,223,2840,543,5.3,118.0,160,1800,645,257,124545,148173,0
Volvo,EX40 Twin Motor Performance,C,5,385,205,2170,414,4.6,79.0,110,1800,441,165,62890,59495,59555
Porsche,Taycan 4 PlusPorsche Taycan,F,5,565,172,2325,738,4.6,97.0,267,0,491,202,111924,116562,0
Ford,e Tourneo Custom L2,N,8,235,272,2602,245,8.0,64.0,2,2000,819,326,76517,0,0
Ford,e Tourneo Custom L2,N,8,270,263,2432,272,9.0,71.0,2,2000,819,244,62654,68349,57923
Ford,Mustang Mach E GT,D,5,425,214,2348,397,4.4,91.0,86,750,619,191,77200,82920,72830
Mercedes,Benz EQS SUV 450,F,7,490,221,2805,521,6.0,108.4,173,1800,645,267,114609,129660,129470
Fiat,E Ulysse L2 75,N,8,265,260,2140,252,13.3,69.0,79,1000,450,234,61990,0,0
Genesis,GV60 Sport MY25 Genesis,C,5,410,195,2200,513,5.5,80.0,205,1600,432,161,64580,0,58515
BYD,ATTO 3 Evo AWD,C,5,400,187,1990,455,3.9,74.8,130,1500,591,121,0,0,42000
Audi,SQ8 Sportback e tronAudi,E,5,480,221,2725,493,4.5,106.0,144,1800,590,221,100350,101990,101315
Mercedes,Benz EQE AMG 53,E,5,450,201,2540,491,3.5,90.6,141,1700,430,268,110706,129380,105995
Polestar,3 Performance MY26 Polestar,E,5,460,222,2600,539,3.9,102.0,200,2200,508,230,0,0,91990
Tesla,Model X Long RangeTesla,F,7,435,218,2533,434,4.9,95.0,100,2250,,216,91000,95820,82350
Citroën,ë Jumpy Combi XL,N,9,265,260,2161,252,13.3,69.0,79,1000,912,222,58730,58958,0
Toyota,Proace Shuttle M 75,N,9,265,260,2131,252,13.1,69.0,79,1000,550,227,0,60095,0
Sono,SionSono Sion Discontinued February,C,5,260,181,1730,261,9.0,47.0,750,750,650,116,29900,30400,0
Citroën,ë SpaceTourer M 75,N,9,265,260,2131,252,13.3,69.0,79,1000,507,237,59640,66097,0
DS,Automobiles N 8 FWDDS,D,5,415,178,2207,443,7.7,73.7,90,1260,620,139,57700,57000,50790
Hyundai,Kona Electric 39 kWh,B,5,245,160,1610,221,9.7,39.2,37,0,332,135,34600,0,27250
Opel,Zafira e Life M,N,9,185,250,1969,198,12.1,46.3,78,1000,,306,63250,57183,42735
Fiat,500e 3 1 24,B,4,135,158,1290,153,9.0,21.3,40,0,185,222,0,29990,0
Škoda,Enyaq iV RS MY23,C,5,420,183,2258,456,6.2,77.0,115,1200,585,147,63300,0,52670
Peugeot,e Traveller Standard 75,N,9,265,260,2131,252,14.3,69.0,79,1000,603,238,59640,66442,0
Mercedes,Benz EQA 250 Mercedes,C,5,420,168,2055,414,9.1,70.5,90,0,340,136,55960,58080,0
Ford,Mustang Mach E SR,D,5,345,203,2138,347,6.3,70.0,78,750,619,191,62250,66670,60080
Ford,Mustang Mach E SR,D,5,375,187,2044,375,6.9,70.0,78,750,619,156,62900,53900,50830
Porsche,Taycan 4SPorsche Taycan 4S,F,5,415,171,2215,525,4.0,71.0,0,0,491,273,114559,120564,90700
Ford,Mustang Mach E ER,D,5,480,190,2160,489,7.0,91.0,1,1500,619,126,58500,54400,59830
Tesla,Model S 60DTesla Model,F,5,345,180,2183,376,5.4,62.0,95,0,895,238,74719,89385,0
Peugeot,e Expert Combi Long,N,9,265,260,2161,252,14.3,69.0,79,1000,989,223,58730,59303,0
Audi,SQ8 SUV e tronAudi,E,5,455,233,2725,463,4.5,106.0,144,1800,631,228,98100,99990,98815
ORA,Funky Cat 63 kWhORA,C,5,340,174,1615,313,8.2,59.3,55,0,228,123,44490,0,33795
Porsche,Taycan Turbo Cross TurismoPorsche,F,5,495,196,2395,636,2.8,97.0,267,0,489,350,177000,184500,138200
Abarth,600e TurismoAbarth 600e Turismo,B,5,280,181,1700,297,6.2,50.8,79,0,360,155,44990,45990,33995
Ford,e Tourneo Custom L2,N,8,250,284,2900,257,7.0,71.0,2,2300,819,315,78659,0,0
Peugeot,e Traveller Long 75,N,9,265,260,2161,252,14.3,69.0,79,1000,989,243,60430,68378,0
Porsche,Taycan 4 Cross TurismoPorsche,F,5,440,190,2320,557,5.1,83.7,216,0,530,238,103254,109064,88200
GWM,ORA 07 ProGWM ORA,D,5,350,184,2065,339,8.2,64.3,75,0,333,127,44490,0,0
Ford,e Tourneo Custom L1,N,8,270,263,2432,272,9.0,71.0,2,2000,672,240,61702,67260,57083
Audi,Q4 Sportback e tron,C,5,295,176,1970,314,9.0,52.0,0,0,535,174,46700,54155,46190
Volkswagen,e Transporter Kombi L1,N,9,255,250,2302,254,12.8,63.8,75,2000,800,243,62719,61990,53404
Volkswagen,e Transporter Kombi L2,N,9,250,255,2348,250,8.6,63.8,75,2000,1,262,65872,65290,0
Tesla,Model X 60DTesla Model,F,7,285,218,2427,306,6.2,62.0,95,0,,315,89100,90600,0
Peugeot,e Rifter Standard 50,N,7,205,226,1765,217,11.7,46.3,78,750,571,193,41240,39620,33120
Peugeot,e Rifter Long 50,N,7,200,232,1841,214,11.7,46.3,78,750,806,207,42440,41430,35120
Volkswagen,ID 5 ProVolkswagen ID,C,5,430,179,2117,459,10.4,77.0,125,1000,549,119,46515,48590,50550
BYD,DOLPHIN 44 9 kWh,C,5,260,173,1700,249,8.0,44.9,50,0,345,124,0,32990,27195
Renault,Kangoo Grand E Tech,N,7,220,205,1992,218,13.3,45.0,50,1500,500,183,40250,0,0
Porsche,Taycan Sport TurismoPorsche Taycan,F,5,380,187,2155,480,5.4,71.0,183,0,530,251,94091,99563,80200
Mercedes,Benz EQS 500 4MATICMercedes,F,5,590,183,2615,655,4.8,107.8,173,750,610,231,125378,147326,0
Mercedes,Benz EQE AMG 43,E,5,450,201,2535,491,4.2,90.6,141,750,430,240,104756,111068,0
Ford,e Tourneo Custom L2,N,8,260,273,2600,266,9.0,71.0,2,2000,819,279,72650,0,0
Tesla,Model S 70Tesla Model,F,5,345,200,2102,362,5.8,69.0,95,0,895,242,82700,84100,0
DS,Automobiles DS 3 Crossback,B,5,255,182,1598,278,8.7,46.3,78,0,350,150,38690,39990,31500
Opel,Vivaro e Combi L,N,9,265,260,2161,252,13.3,69.0,79,1000,912,220,57775,59059,0
Mercedes,Benz EQE 350 MY22,E,5,510,175,2385,554,6.4,89.0,120,750,430,158,70210,83238,77345
Mercedes,Benz EQE 500 4MATIC,E,5,505,179,2475,549,4.7,90.6,141,750,430,199,87286,113488,0
Ford,Mustang Mach E GT,D,5,425,214,2348,397,4.4,91.0,86,750,619,197,86200,79200,74540
Mini,Cooper SE ConvertibleMini Cooper,B,4,165,175,1540,167,8.2,28.9,44,0,160,370,60000,62990,52500
Porsche,Taycan 4S Sport TurismoPorsche,F,5,440,187,2270,546,3.7,82.3,195,0,530,273,121800,127800,96700
Lotus,Emeya RLotus Emeya R,F,5,465,213,2650,611,2.8,98.9,328,1225,543,328,150990,155025,131255
Mercedes,Benz EQT 200 LongMercedes,N,7,220,205,1944,221,13.3,45.0,50,1500,828,213,41613,52326,0
Ford,e Tourneo Custom L1,N,8,265,268,2500,266,9.0,71.0,2,2000,672,271,71698,0,0
Tesla,Model X P90DLTesla Model,F,7,375,228,2524,366,3.4,85.5,90,0,,382,142200,144600,0
Mercedes,Benz EQE AMG 53,E,5,455,199,2525,491,3.5,90.6,141,750,430,271,109777,128613,114750
Mercedes,Benz EQS SUV 450,F,7,500,217,2695,535,6.7,108.4,173,750,645,236,110801,125425,0
Opel,Combo Electric XL 50,N,7,230,217,1881,242,11.3,50.0,80,750,1,175,39600,44584,31590
Porsche,Taycan 4Porsche Taycan 4,F,5,490,168,2245,611,4.6,82.3,195,0,491,221,106200,110433,0
Audi,e tron SAudi e,E,5,320,270,2695,339,4.5,86.5,146,1800,722,311,93800,104540,87000
Nissan,Ariya e 4ORCE 87kWh,C,5,405,215,2293,391,5.1,87.0,80,1500,415,168,71490,64990,59025
Peugeot,e Expert Combi Standard,N,9,185,250,1969,198,13.1,46.3,78,1000,603,271,51940,48353,0
Mercedes,Benz eVito Tourer Long,N,9,210,286,2380,211,12.0,60.0,0,0,990,333,60678,79061,0
GWM,ORA 07 PureGWM ORA,D,5,350,184,2065,339,8.2,64.3,75,0,333,120,41990,0,0
Skywell,BE11 Standard RangeSkywell BE11,D,5,325,209,1955,296,9.6,68.0,50,0,467,131,0,0,36995
Ford,e Tourneo Custom L2,N,8,255,278,2807,259,8.0,71.0,2,2000,819,344,0,0,76187
BMW,i3s 94 AhBMW i3s,B,4,160,170,1340,163,6.9,27.2,46,0,260,265,45750,44081,32475
Opel,Zafira e Life L,N,9,265,260,2161,252,13.3,69.0,79,1000,,261,70075,68134,0
Jeep,Avenger Electric 1st EditionJeep,B,5,310,164,1611,330,9.0,50.8,79,0,355,132,39900,0,36500
Mercedes,Benz EQV 250 Extra,N,7,210,286,2641,199,12.0,60.0,0,0,1,283,59363,0,0
Audi,Q4 Sportback e tron,C,5,400,192,2215,442,6.9,76.6,115,1200,535,149,55900,63465,0
Peugeot,e Traveller L2 75,N,9,265,260,2211,252,14.2,69.0,79,1000,603,221,52230,68571,47495
Ford,e Tourneo Custom L1,N,8,255,278,2800,259,7.0,71.0,2,2300,672,305,77707,0,0
Citroën,ë Berlingo MultispaceCitroen e,N,5,100,205,1679,105,19.5,20.5,30,0,1,317,0,31670,0
Lucid,Air Touring MY23 24,F,5,560,164,2337,645,3.6,92.0,160,0,910,179,99000,102000,0
Porsche,Taycan Turbo S Cross,F,5,380,220,2395,478,2.9,83.7,216,0,489,486,191096,198400,143400
Škoda,Enyaq Coupe iV 60,C,5,345,168,2008,375,8.8,58.0,82,1000,575,139,0,47990,0
Ford,Mustang Mach E SR,D,5,350,207,2276,372,6.2,72.6,100,750,619,168,57900,59400,0
Citroën,ë SpaceTourer XL 75,N,9,265,260,2240,252,14.2,69.0,79,1000,989,217,53230,69781,42935
Volkswagen,ID 5 Pure MY24,C,5,320,163,1966,359,8.9,52.0,87,1000,549,145,45270,46990,41080
Volvo,EC40 Twin Motor Performance,C,5,400,198,2185,438,4.6,79.0,110,1800,435,159,64390,57995,59610
Mercedes,Benz EQV 300 Extra,N,7,310,290,2660,285,12.1,90.0,96,0,1,254,72519,84809,0
Kia,e Soul 39 2,B,5,230,170,1610,209,9.9,39.2,37,0,315,167,40290,37295,32875
Ford,Mustang Mach E SR,D,5,345,203,2138,347,6.3,70.0,78,750,619,197,69200,66445,0
VinFast,VF 8 Plus Extended,D,5,400,219,2595,411,5.5,87.7,105,1800,376,144,58890,56690,0
Porsche,Taycan TurboPorsche Taycan Turbo,F,5,445,188,2380,568,3.2,83.7,216,0,450,360,164420,171763,125800
Porsche,Taycan 4S Plus Sport,F,5,510,190,2350,655,3.7,97.0,267,0,530,244,127322,133631,97200
Peugeot,e Traveller L3 75,N,9,265,260,2240,252,14.2,69.0,79,1000,989,225,53230,69781,48395
Nissan,Townstar EV Passenger L2Nissan,N,7,220,205,1992,218,13.3,45.0,50,1500,819,195,0,42790,0
Volkswagen,e Transporter Kombi L2,N,9,250,255,2348,250,7.4,63.8,75,2000,1,272,67913,0,0
Kia,e Niro 39 kWhKia,C,5,235,167,1667,215,9.8,39.2,37,0,451,150,35290,0,0
Citroën,ë Berlingo XL 50,N,7,205,226,1813,221,11.7,46.3,78,750,806,204,43640,43556,33315
Porsche,Taycan Plus Sport TurismoPorsche,F,5,530,183,2270,685,4.8,97.0,267,0,530,204,108124,114144,89200
Mercedes,Benz EQV 250 LongMercedes,N,7,215,279,2594,199,12.0,60.0,0,0,1,272,58488,0,0
Polestar,3 Rear Motor MY26,E,5,440,200,2390,520,6.5,88.0,170,1500,508,183,0,0,69990
Ford,e Tourneo Custom L1,N,8,255,278,2760,259,8.0,71.0,2,2000,672,340,0,0,75347
Volkswagen,ID 4 Pro 4MOTIONVolkswagen,C,5,405,190,2221,440,6.9,77.0,115,1200,543,121,49020,0,0
Mercedes,Benz EQE SUV AMG,E,5,420,216,2690,453,3.5,90.6,141,1800,520,335,139438,149788,114995
Mercedes,Benz EQE AMG 53,E,5,450,201,2540,491,3.5,90.6,141,1700,430,267,110706,128613,105860
Seres,3Seres 3 Discontinued December,C,5,255,196,1765,231,8.9,50.0,50,0,318,149,0,37995,0
Toyota,Proace Verso L 50,N,8,180,257,1989,191,12.1,46.3,78,1000,989,304,59385,0,43488
Ford,Mustang Mach E Rally,D,5,415,219,2354,420,3.9,91.0,115,750,619,184,81000,71400,0
Ford,Mustang Mach E GT,D,5,410,215,2348,388,4.4,88.0,86,750,619,184,72900,76890,66280
Citroën,ë SpaceTourer M 50,N,9,185,250,1969,198,12.1,46.3,78,1000,507,276,53640,57083,37045
Porsche,Taycan 4S PlusPorsche Taycan,F,5,480,174,2295,613,4.0,83.7,216,0,491,247,120081,126395,94996
Mercedes,Benz eVito Tourer Long,N,8,220,273,2448,205,12.0,60.0,0,0,990,311,68398,0,0
Hongqi,E HS7 111 kWh,E,5,435,219,2608,510,3.9,95.3,210,1500,705,172,0,74995,0
Porsche,Taycan 4S Cross TurismoPorsche,F,5,440,190,2320,557,4.1,83.7,216,0,530,269,119914,126064,95200
Porsche,Taycan GTS Sport TurismoPorsche,F,5,505,192,2385,655,3.3,97.0,267,0,489,291,148600,155233,119200
Toyota,Proace Verso L 75,N,8,265,260,2161,252,13.1,69.0,79,1000,989,269,65385,77445,0
Mercedes,Benz EQE SUV 350,E,5,450,201,2430,485,6.7,90.6,141,750,520,199,86811,91950,0
Mercedes,Benz EQS SUV 500,F,7,490,221,2805,521,5.2,108.4,173,1800,645,278,124545,148173,0
Volvo,EC40 Twin Motor Performance,C,5,400,198,2185,438,4.6,79.0,110,1800,435,162,64390,60995,59555
Mercedes,Benz eVito Tourer Extra,N,8,215,279,2596,201,12.0,60.0,0,0,1,322,69309,0,0
Škoda,Enyaq Coupe iV 80x,C,5,435,177,2214,473,7.0,77.0,1,1200,575,135,56650,0,52505
Genesis,GV60 Sport MY22 24,C,5,375,197,2170,472,5.5,74.0,200,1600,432,174,63200,0,58365
Genesis,GV60 Sport Plus MY22,C,5,360,206,2220,456,4.0,74.0,1,1600,432,209,73100,0,67505
Ford,Mustang Mach E SR,D,5,375,187,2044,375,6.9,70.0,78,750,619,156,56500,61200,50030
Porsche,Taycan Turbo S Cross,F,5,485,200,2400,620,2.5,97.0,267,0,489,427,211300,220400,165200
Lucid,Air Touring MY25 Lucid,F,5,605,159,2337,689,3.6,96.0,160,0,910,192,99900,132000,0
Mercedes,Benz EQE SUV AMG,E,5,420,216,2690,453,3.7,90.6,141,1800,520,335,139438,150555,115130
Renault,Zoe R90 EntryRenault Zoe,B,5,140,166,1502,102,14.5,23.3,0,0,338,198,30100,30390,19845
Porsche,Taycan Turbo Cross TurismoPorsche,F,5,395,212,2395,496,3.3,83.7,216,0,489,389,157776,163900,120900
Citroën,ë Jumpy Combi XS,N,9,185,250,1932,191,12.1,46.3,78,1000,140,246,49080,41780,0
Porsche,Taycan Plus Sport TurismoPorsche,F,5,445,188,2235,559,5.4,83.7,216,0,530,227,99815,105607,84654
Abarth,500e ScorpionissimaAbarth 500e Scorpionissima,B,4,225,166,1410,247,7.0,37.3,67,0,185,195,43000,44000,38695
MG,MG4 Urban Comfort Long,C,5,325,162,1520,328,9.5,52.8,75,500,577,90,0,0,25495
Audi,e tron Sportback 50,E,5,295,219,2445,315,6.8,64.7,114,1800,677,245,71350,0,63835
Porsche,Taycan Turbo S Sport,F,5,505,192,2395,655,2.4,97.0,267,0,489,408,210800,219900,163200
NIO,EL8 Standard RangeNIO EL8,F,6,360,204,2613,388,4.1,73.5,110,2000,265,258,94900,90900,0
Citroën,ë SpaceTourer M 50,N,9,180,257,2027,191,13.3,46.3,78,1000,603,274,46230,59571,36635
Volkswagen,e Caravelle L2 100,N,9,245,260,2568,247,12.8,63.8,75,2000,1,275,67027,69390,57149
MG,MG4 Urban Comfort Standard,C,5,260,161,1460,273,9.6,41.9,65,500,577,104,0,0,23495
Citroën,ë Jumpy Combi M,N,9,185,250,1969,198,12.1,46.3,78,1000,507,270,51940,48008,0
Porsche,Taycan 4S Sport TurismoPorsche,F,5,370,192,2245,469,4.0,71.0,0,0,530,308,114559,121463,91700
Volkswagen,e Caravelle L1 100,N,9,245,260,2523,247,12.8,63.8,75,2000,800,271,66021,68390,56129
Smart,EQ fortwo cabrioSmart EQ,A,2,95,176,1115,65,11.8,16.7,0,0,260,263,25200,26995,19835
Kia,e Soul 39 kWhKia,B,5,230,170,1610,209,9.9,39.2,37,0,315,156,38090,33495,0
Opel,Combo e Life XL,N,7,200,232,1813,214,11.7,46.3,78,750,806,212,44750,0,34685
Opel,Vivaro e Combi M,N,9,185,250,1969,198,12.1,46.3,78,1000,507,255,50992,48108,36995
Porsche,Taycan PlusPorsche Taycan Plus,F,5,485,173,2205,621,5.4,83.7,216,0,491,206,98863,104707,83654
Škoda,Enyaq Coupe 60 MY24,C,5,345,168,2000,375,8.8,58.0,82,1000,570,137,46850,47990,0
Mercedes,Benz EQV 250 LongMercedes,N,7,205,293,2576,193,12.0,60.0,0,0,1,332,68056,0,0
Audi,Q8 Sportback e tron,E,5,445,200,2585,472,6.0,89.0,1,1800,590,177,78150,73785,73215
Volkswagen,e Caravelle L1 210,N,9,245,260,2523,247,7.4,63.8,75,2000,800,300,70210,73890,66335
Peugeot,e Expert Combi Compact,N,9,185,250,1932,191,12.1,46.3,78,1000,,243,49080,40790,0
Opel,Zafira Electric XL 75,N,9,265,260,2240,252,14.2,69.0,79,1000,989,215,54550,58963,49595
Volkswagen,e Transporter Kombi L1,N,9,255,250,2302,254,7.4,63.8,75,2000,800,262,66908,0,0
Lucid,Air Dream Edition PLucid,F,5,670,176,2435,766,2.7,118.0,185,0,910,328,218000,222000,0
Fiat,E Ulysse L2 50,N,8,185,250,1969,198,12.1,46.3,78,1000,450,303,55990,0,0
Mercedes,Benz EQE AMG 43,E,5,450,201,2535,491,4.2,90.6,141,1700,430,240,104756,111068,0
Tesla,Model S P90DLTesla Model,F,5,405,211,2271,401,3.0,85.5,90,0,895,330,129600,137700,0
Audi,e tron S SportbackAudi,E,5,335,258,2695,354,4.5,86.5,146,1800,677,303,96050,106940,88700
Peugeot,e Traveller L2 50,N,9,180,257,2027,191,13.3,46.3,78,1000,603,294,46230,59571,0
Opel,Zafira e Life L,N,9,180,257,1989,191,12.1,46.3,78,1000,,321,64075,59119,43575
Peugeot,e Expert Combi Long,N,9,185,250,1989,198,13.1,46.3,78,1000,989,278,52730,50289,0
Fisker,Ocean SportFisker Ocean Sport,D,5,350,203,2300,391,7.4,71.0,100,1090,476,124,43900,43990,36900
Porsche,Taycan Turbo S Cross,F,5,410,204,2395,520,2.9,83.7,216,0,489,470,199168,207664,149300
Fiat,E Ulysse L3 75,N,8,265,260,2167,252,13.3,69.0,79,1000,800,238,62990,0,0
Ford,Mustang Mach E SR,D,5,350,207,2276,372,6.2,72.6,100,750,619,165,57900,0,0
Tesla,Model X Ludicrous PerformanceTesla,F,7,440,216,2572,438,2.9,95.0,100,2250,,264,0,115920,101350
Kia,e Niro 39 kWhKia,C,5,235,167,1667,215,9.8,39.2,37,0,451,146,34400,0,29595
Mercedes,Benz eVito Tourer Extra,N,9,205,293,2405,211,12.0,60.0,0,0,1,346,61571,80253,0
Porsche,Taycan Turbo S Sport,F,5,395,212,2400,501,2.8,83.7,216,0,489,487,198692,207163,149300
Opel,Zafira Electric XL 50,N,9,180,257,2056,191,13.3,46.3,78,1000,989,274,48550,49963,0
Citroën,ë Jumpy Combi XL,N,9,180,257,1989,191,12.1,46.3,78,1000,912,285,52730,49944,0
Toyota,Proace Shuttle L 75,N,9,265,260,2161,252,13.1,69.0,79,1000,980,263,0,69795,0
Lotus,Emeya SLotus Emeya S,F,5,520,190,2555,693,4.2,98.9,328,2250,543,245,126950,130585,108755
Citroën,ë SpaceTourer XL 50,N,9,180,257,2056,191,13.3,46.3,78,1000,989,280,47230,60781,37535
MG,MG4 Urban Premium Long,C,5,325,162,1520,328,9.5,52.8,75,500,568,99,0,0,27995
Porsche,Taycan Turbo Sport TurismoPorsche,F,5,505,192,2390,655,2.7,97.0,267,0,489,341,176600,184000,136200
Ford,e Tourneo Custom L2,N,8,235,272,2602,245,9.0,64.0,2,2000,819,295,67771,0,61727
Mercedes,Benz EQV 250 Extra,N,7,205,293,2606,193,12.0,60.0,0,0,1,336,68949,0,0
Toyota,Proace Shuttle M 50,N,9,185,250,1969,198,12.1,46.3,78,1000,550,318,0,58895,0
Porsche,Taycan 4S Plus Sport,F,5,430,195,2325,546,4.0,83.7,216,0,530,277,120081,127294,95996
Smart,ForTwo Cabrio Electric DriveSmart,A,2,95,176,1115,65,11.8,16.7,0,0,260,258,25200,27043,18560
Tesla,Model X PerformanceTesla Model,F,7,420,226,2572,413,3.7,95.0,100,2250,,242,99700,102420,89850
Citroën,ë SpaceTourer XL 75,N,9,265,260,2161,252,13.3,69.0,79,1000,912,242,60430,68033,0
Toyota,Proace Verso M 50,N,8,185,250,1969,198,12.1,46.3,78,1000,603,292,58530,0,42988
Opel,Zafira Electric 50 kWhOpel,N,9,180,257,2027,191,13.3,46.3,78,1000,603,268,47550,48753,0
Citroën,ë SpaceTourer XS 50,N,9,185,250,1932,191,12.1,46.3,78,1000,140,275,50880,0,0
Toyota,Proace Shuttle L 50,N,9,180,257,1989,191,12.1,46.3,78,1000,980,381,0,68595,0
Mercedes,Benz EQE SUV 300,E,5,440,202,2460,468,7.6,89.0,120,750,520,190,83748,0,0
Porsche,Taycan Turbo Sport TurismoPorsche,F,5,405,207,2405,512,3.2,83.7,216,0,489,398,165372,172863,126800
ORA,Funky Cat GTORA Funky,C,5,330,180,1615,300,8.2,59.3,55,0,228,150,49490,0,0
Peugeot,e Traveller L3 50,N,9,180,257,2056,191,13.3,46.3,78,1000,989,300,47230,60781,0
Volkswagen,e Caravelle L1 160,N,9,245,260,2523,247,8.6,63.8,75,2000,800,284,68169,70690,60557
Kia,e Soul 39 kWhKia,B,5,230,170,1593,209,9.6,39.2,37,0,315,144,33133,0,0
Peugeot,e Traveller Standard 50,N,9,185,250,1969,198,13.1,46.3,78,1000,603,289,53640,57428,42785
Ford,e Tourneo Custom L1,N,8,235,272,2557,245,8.0,64.0,2,2000,672,322,75565,0,0
Opel,Zafira e Life S,N,9,185,250,1932,191,12.1,46.3,78,1000,,306,56700,0,0
Opel,Vivaro e Combi S,N,9,185,250,1932,191,12.1,46.3,78,1000,140,268,49623,0,0
Porsche,Taycan Turbo Cross TurismoPorsche,F,5,425,197,2395,538,3.3,83.7,216,0,489,380,165848,173264,126800
Peugeot,e Traveller Compact 50,N,9,185,250,1932,191,12.1,46.3,78,1000,,275,50880,0,0
Fiat,E Ulysse L3 50,N,8,180,257,1989,191,12.1,46.3,78,1000,800,317,56990,0,0
Citroën,ë SpaceTourer XL 50,N,9,180,257,1989,191,12.1,46.3,78,1000,912,291,54430,59019,37885
Peugeot,e Traveller Long 50,N,9,185,250,1989,198,13.1,46.3,78,1000,989,295,54430,59364,43625
MG,MG4 Electric 64 kWh,C,5,360,171,1726,405,7.9,61.7,115,500,363,103,39990,37570,29745
BMW,iX3 50 xDrive MY26,D,5,610,178,2360,742,4.9,108.7,230,2000,578,114,70900,70501,58755
BMW,iX xDrive40BMW iX xDrive40,E,5,360,197,2440,388,6.1,71.0,102,2500,500,225,77300,84998,69905
Fiat,500e Hatchback 42 kWhFiat,B,4,235,159,1365,261,9.0,37.3,67,0,185,128,34990,27999,23995
CUPRA,Born 150 kW 58,C,5,350,166,1811,375,7.3,58.0,82,0,385,110,39370,36939,34125
Volvo,EX60 P12 AWD MY27,D,5,610,184,2405,742,3.9,112.0,250,2400,575,120,71990,72995,64860
Mercedes,Benz CLA 250 Mercedes,D,5,585,145,2055,763,6.7,85.0,235,1500,506,92,55728,53554,45615
CUPRA,Born 170 kW 77,C,4,450,171,1946,488,7.0,77.0,0,0,385,103,46450,46989,39625
Tesla,Model Y Long Range,D,5,455,165,2072,535,4.8,75.0,124,1600,971,122,52990,53990,51990
Tesla,Model 3 Standard RWD,D,5,445,135,1847,523,6.2,60.0,110,1000,682,89,37970,36990,37990
Kia,EV3 Long RangeKia EV3,B,5,455,171,1885,472,7.7,78.0,105,1000,485,91,41390,41495,35995
Tesla,Model Y Long Range,D,5,490,157,1953,574,7.2,77.0,130,1600,952,100,47970,46990,44990
Tesla,Model Y Long Range,D,7,445,169,2054,524,5.0,75.0,1,1600,971,126,55970,52990,51990
BYD,ATTO 3 MY25 BYD,C,5,340,178,1825,348,7.3,60.48,75,750,440,121,38990,40690,37730
BYD,ATTO 2BYD ATTO 2,B,5,245,184,1645,235,7.9,45.12,51,750,400,135,31990,31690,30850
Tesla,Model Y RWD Juniper,D,5,380,158,1981,440,7.2,60.0,110,1600,952,113,40970,39990,41990
Tesla,Model 3 Premium RWD,D,5,580,136,1822,688,5.2,79.0,120,1000,682,83,45970,45990,44990
Škoda,Elroq 85 MY25 Skoda,C,5,450,171,2115,493,6.6,77.0,120,1000,470,96,44180,43990,35560
Tesla,Model Y RWD Juniper,D,5,375,160,2003,438,5.9,60.0,110,1600,971,128,45970,45990,44990
Mercedes,Benz GLC 400 4MATICMercedes,D,5,500,188,2535,606,4.3,94.0,190,2400,698,142,71281,72631,60350
Leapmotor,B10 67 1 kWhLeapmotor,C,5,360,181,1920,403,8.0,65.0,750,750,430,93,32400,31495,31495
Renault,5 E Tech 52kWh,B,5,335,155,1504,352,8.0,52.0,500,500,326,91,32900,30990,23945
Tesla,Model 3 Long Range,D,5,550,136,1822,655,5.2,75.0,124,1000,682,86,44990,45990,44990
BYD,SEALION 7 91 3,D,5,440,208,2510,502,4.5,91.3,165,1500,578,140,58990,58190,58990
Tesla,Model Y Premium AWD,D,5,475,166,2072,556,4.8,79.0,120,1600,971,118,53970,53990,51990
Kia,Niro EVKia Niro EV,C,5,385,168,1757,379,7.8,64.8,70,750,495,110,45690,38995,37295
Fiat,Grande PandaFiat Grande Panda,B,5,260,168,1511,271,11.0,43.8,62,550,361,95,24990,24999,20995
BYD,ATTO 3 MY23 24,C,5,330,183,1825,325,7.3,60.48,71,0,440,122,37990,39690,37195
Changan,Deepal S05 RWDChangan Deepal,C,5,385,177,2015,448,7.5,68.0,130,1600,651,101,38990,38990,0
Tesla,Model Y PerformanceTesla Model,D,5,430,174,2072,506,4.0,75.0,1,1600,971,146,60970,58990,59990
Jaecoo,5 EVJaecoo 5 EV,C,5,325,181,1765,341,7.7,58.9,80,1250,480,96,0,30890,27505
Tesla,Model Y Performance Juniper,D,5,460,172,2108,535,3.8,79.0,120,1600,971,143,62970,62990,61990
